EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
192747.688,190287.656,207030.000,199784.906,193450.156,184605.297,193394.000,182889.672,-0.010,1.001,0.067,-2.014,-0.183,-0.549,80.000,113361.000,1.000
192736.781,190296.766,207044.578,199795.641,193448.359,184617.813,193398.656,182871.156,-0.009,1.001,0.069,-2.075,-0.183,-0.549,80.000,113362.000,1.000
192749.656,190323.141,207074.344,199821.391,193465.266,184646.875,193424.578,182882.703,-0.009,1.000,0.068,-2.014,-0.122,-0.610,80.000,113363.000,1.000
192767.984,190334.672,207083.641,199831.672,193478.141,184655.734,193434.859,182909.078,-0.009,0.999,0.068,-2.106,-0.275,-0.641,80.000,113364.000,1.000
192770.578,190313.219,207057.891,199817.359,193470.719,184624.250,193414.031,182925.344,-0.007,1.002,0.068,-2.075,-0.244,-0.610,80.000,113365.000,1.000
192744.734,190286.938,207031.516,199792.500,193449.344,184608.609,193384.703,182895.922,-0.009,1.002,0.065,-2.045,-0.305,-0.610,80.000,113366.000,1.000
192732.938,190296.328,207044.313,199797.969,193448.016,184628.375,193396.328,182874.203,-0.010,1.001,0.067,-2.197,-0.488,-0.458,80.000,113367.000,1.000
192748.938,190321.266,207072.563,199818.609,193465.094,184654.563,193435.844,182889.219,-0.011,1.001,0.067,-2.136,-0.488,-0.519,80.000,113368.000,1.000
192777.813,190337.188,207085.438,199831.844,193479.219,184663.500,193446.766,182914.891,-0.010,0.999,0.068,-2.136,-0.488,-0.427,80.000,113369.000,1.000
192778.531,190309.734,207055.313,199813.516,193466.250,184626.484,193416.000,182921.766,-0.009,0.998,0.068,-2.136,-0.488,-0.427,80.000,113370.000,1.000
192744.109,190274.328,207022.578,199780.891,193437.547,184588.938,193380.859,182887.172,-0.009,0.998,0.065,-2.014,-0.458,-0.488,80.000,113371.000,1.000
192721.578,190277.375,207030.266,199778.297,193432.453,184608.250,193391.063,182860.875,-0.010,0.997,0.064,-2.136,-0.519,-0.427,80.000,113372.000,1.000
192745.453,190315.281,207070.859,199815.031,193461.328,184652.688,193428.250,182884.938,-0.007,0.998,0.065,-2.014,-0.580,-0.427,80.000,113373.000,1.000
192781.844,190344.422,207094.828,199840.156,193488.594,184672.719,193451.047,182920.781,-0.009,0.997,0.066,-1.892,-0.549,-0.366,80.000,113374.000,1.000
192787.203,190325.828,207072.375,199828.625,193488.594,184647.859,193441.391,182940.000,-0.008,0.999,0.066,-1.923,-0.580,-0.275,80.000,113375.000,1.000
192740.359,190278.359,207027.328,199784.109,193447.391,184591.000,193386.047,182891.281,-0.008,0.999,0.068,-1.923,-0.580,-0.275,80.000,113376.000,1.000
192729.625,190289.172,207045.203,199793.219,193447.734,184601.094,193389.453,182873.750,-0.006,0.998,0.064,-1.831,-0.488,-0.275,80.000,113377.000,1.000
192762.266,190334.672,207095.094,199837.563,193487.703,184660.828,193440.141,182907.188,-0.009,0.997,0.069,-1.892,-0.519,-0.305,80.000,113378.000,1.000
192778.984,190344.422,207099.391,199841.328,193497.188,184672.000,193451.406,182923.203,-0.008,0.998,0.071,-1.862,-0.458,-0.336,80.000,113379.000,1.000
192768.063,190305.359,207053.250,199803.063,193469.563,184615.406,193405.813,182913.719,-0.008,0.999,0.069,-1.801,-0.366,-0.244,80.000,113380.000,1.000
192740.531,190274.234,207023.125,199775.781,193445.328,184585.281,193380.688,182883.953,-0.009,0.999,0.069,-1.801,-0.519,-0.244,80.000,113381.000,1.000
192738.656,190295.078,207051.016,199798.859,193460.531,184623.984,193408.578,182881.719,-0.007,0.998,0.071,-1.953,-0.458,-0.183,80.000,113382.000,1.000
192752.516,190324.219,207082.938,199825.594,193481.359,184659.656,193440.594,182899.234,-0.007,0.998,0.070,-1.984,-0.580,-0.183,80.000,113383.000,1.000
192772.625,190336.281,207089.906,199832.922,193495.313,184672.000,193456.953,182919.531,-0.006,0.999,0.068,-1.984,-0.488,-0.153,80.000,113384.000,1.000
192772.625,190312.156,207059.328,199811.469,193483.063,184634.891,193423.250,182919.625,-0.006,0.999,0.069,-1.984,-0.397,-0.092,80.000,113385.000,1.000
192740.078,190280.313,207028.391,199784.281,193458.563,184601.547,193397.406,182892.625,-0.004,0.998,0.070,-2.045,-0.427,-0.092,80.000,113386.000,1.000
192732.219,190295.078,207046.719,199793.672,193461.156,184628.281,193408.844,182874.031,-0.005,1.000,0.066,-2.045,-0.397,-0.092,80.000,113387.000,1.000
192763.594,190338.344,207093.750,199835.609,193492.984,184680.219,193452.656,182902.453,-0.005,1.000,0.069,-2.045,-0.305,-0.214,80.000,113388.000,1.000
192793.109,190356.500,207109.750,199854.734,193507.828,184682.109,193463.922,182934.641,-0.008,1.000,0.069,-2.045,-0.336,-0.244,80.000,113389.000,1.000
192787.203,190323.859,207072.109,199826.656,193485.656,184630.969,193428.078,182935.531,-0.008,0.999,0.067,-1.953,-0.275,-0.183,80.000,113390.000,1.000
