EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
192405.078,189581.250,205148.438,198265.250,192779.609,184211.547,192367.891,182310.219,-0.002,0.999,0.173,-1.617,-0.549,-0.122,80.000,159831.000,1.000
192385.938,189576.688,205151.734,198260.438,192768.969,184215.219,192360.828,182274.188,0.000,1.001,0.174,-1.556,-0.580,-0.183,80.000,159832.000,1.000
192405.531,189615.047,205189.828,198292.531,192790.328,184253.656,192393.906,182281.078,-0.001,1.001,0.175,-1.556,-0.610,-0.366,80.000,159833.000,1.000
192430.734,189640.078,205210.125,198313.625,192806.688,184266.094,192404.547,182305.391,-0.002,1.003,0.175,-1.404,-0.641,-0.275,80.000,159834.000,1.000
192428.328,189613.797,205183.922,198299.594,192795.703,184230.594,192375.750,182320.422,0.000,1.003,0.175,-1.404,-0.610,-0.427,80.000,159835.000,1.000
192399.438,189575.875,205143.516,198264.984,192765.125,184181.063,192337.219,182300.922,0.002,1.001,0.174,-1.465,-0.610,-0.519,80.000,159836.000,1.000
192382.719,189572.219,205146.016,198264.453,192759.484,184188.313,192343.469,182285.547,0.002,1.002,0.173,-1.495,-0.671,-0.549,80.000,159837.000,1.000
192388.531,189598.063,205175.516,198288.688,192784.781,184246.250,192397.750,182306.297,0.000,1.002,0.176,-1.465,-0.610,-0.549,80.000,159838.000,1.000
192415.094,189629.797,205202.078,198320.422,192810.453,184278.156,192411.688,182342.234,0.002,1.002,0.174,-1.373,-0.458,-0.458,80.000,159839.000,1.000
192410.266,189609.141,205175.609,198298.875,192799.547,184252.234,192385.859,182351.797,0.004,1.001,0.175,-1.343,-0.458,-0.488,80.000,159840.000,1.000
192378.516,189571.328,205136.453,198264.547,192775.125,184219.328,192366.000,182338.031,0.005,1.003,0.172,-1.221,-0.427,-0.427,80.000,159841.000,1.000
192353.750,189567.125,205134.844,198251.125,192766.641,184232.828,192375.578,182308.797,0.002,1.003,0.172,-1.190,-0.427,-0.366,80.000,159842.000,1.000
192374.234,189608.250,205174.813,198281.078,192795.609,184285.578,192413.844,182317.281,0.003,1.003,0.177,-1.221,-0.427,-0.397,80.000,159843.000,1.000
192402.844,189635.344,205198.859,198304.781,192817.328,184305.703,192431.000,182340.719,0.001,1.000,0.176,-1.190,-0.397,-0.427,80.000,159844.000,1.000
192398.734,189612.094,205171.406,198286.000,192807.938,184278.156,192414.828,182353.234,0.002,1.001,0.175,-1.160,-0.275,-0.488,80.000,159845.000,1.000
192370.391,189573.922,205132.516,198256.859,192781.219,184228.719,192377.813,182332.844,0.003,1.000,0.174,-1.129,-0.244,-0.610,80.000,159846.000,1.000
192360.547,189573.734,205141.109,198256.938,192780.766,184238.828,192388.531,182310.938,0.003,1.000,0.169,-0.977,-0.244,-0.549,80.000,159847.000,1.000
192382.281,189614.500,205180.172,198281.625,192803.109,184275.922,192410.625,182301.641,0.001,1.002,0.172,-1.038,-0.214,-0.610,80.000,159848.000,1.000
192417.688,189641.328,205211.203,198316.578,192829.484,184296.578,192427.156,182319.078,0.000,1.000,0.175,-1.038,0.000,-0.519,80.000,159849.000,1.000
192429.844,189628.188,205198.688,198315.594,192830.469,184269.844,192408.828,182342.766,-0.001,0.999,0.174,-1.068,-0.061,-0.580,80.000,159850.000,1.000
192400.156,189588.125,205159.609,198275.547,192802.938,184227.563,192378.438,182322.203,-0.001,1.000,0.173,-1.099,-0.153,-0.488,80.000,159851.000,1.000
192382.094,189586.250,205159.703,198267.047,192792.203,184229.875,192379.781,182296.188,0.000,1.001,0.172,-1.099,-0.183,-0.519,80.000,159852.000,1.000
192396.500,189613.969,205190.719,198290.734,192810.094,184273.688,192414.828,182306.297,-0.003,1.001,0.171,-1.099,-0.153,-0.641,80.000,159853.000,1.000
192421.344,189638.641,205210.578,198312.016,192827.250,184298.094,192438.156,182335.078,-0.002,1.001,0.169,-1.007,-0.214,-0.671,80.000,159854.000,1.000
192416.156,189614.500,205178.563,198290.031,192806.250,184258.484,192406.500,182340.625,-0.003,1.003,0.172,-1.038,-0.183,-0.824,80.000,159855.000,1.000
192385.313,189567.203,205133.406,198256.859,192766.641,184199.484,192349.375,182314.063,-0.004,1.005,0.170,-1.068,-0.122,-0.793,80.000,159856.000,1.000
192367.344,189566.766,205135.203,198255.781,192758.234,184209.938,192355.453,182291.000,-0.004,1.005,0.173,-1.038,-0.244,-0.916,80.000,159857.000,1.000
192373.250,189587.141,205158.625,198273.031,192770.484,184250.984,192385.594,182298.594,-0.003,1.005,0.171,-1.160,-0.366,-0.824,80.000,159858.000,1.000
192401.672,189612.813,205183.844,198300.938,192793.281,184281.109,192407.578,182332.578,-0.003,1.004,0.173,-1.190,-0.336,-0.854,80.000,159859.000,1.000
192394.438,189591.000,205155.938,198280.188,192781.219,184255.984,192386.656,182342.953,-0.003,1.002,0.171,-1.282,-0.397,-0.702,80.000,159860.000,1.000
192356.078,189547.813,205110.250,198239.328,192749.203,184211.906,192347.953,182320.422,0.000,1.001,0.170,-1.251,-0.427,-0.580,80.000,159861.000,1.000
192334.891,189546.109,205110.531,198233.344,192742.047,184214.594,192348.844,182295.203,0.000,1.003,0.168,-1.221,-0.458,-0.549,80.000,159862.000,1.000
192348.297,189577.219,205143.969,198262.391,192765.656,184255.625,192385.766,182307.453,0.000,1.004,0.166,-1.190,-0.397,-0.549,80.000,159863.000,1.000
192374.672,189607.797,205169.438,198289.844,192794.172,184293.359,192419.109,182337.844,-0.002,1.004,0.166,-1.099,-0.427,-0.580,80.000,159864.000,1.000
192379.328,189598.688,205151.203,198282.156,192794.531,184271.453,192402.656,182356.984,-0.003,1.002,0.165,-1.221,-0.366,-0.610,80.000,159865.000,1.000
192345.625,189550.938,205106.500,198237.625,192759.844,184215.047,192346.781,182321.484,-0.001,1.000,0.167,-1.190,-0.549,-0.641,80.000,159866.000,1.000
192338.203,189551.563,205117.594,198243.359,192761.547,184238.109,192364.484,182299.672,-0.003,0.999,0.167,-1.129,-0.549,-0.488,80.000,159867.000,1.000
192365.297,189591.625,205162.469,198283.766,192791.500,184278.781,192404.188,182316.750,-0.003,1.001,0.165,-1.099,-0.519,-0.580,80.000,159868.000,1.000
192387.641,189616.469,205183.125,198298.703,192811.250,184300.063,192429.391,182340.094,-0.003,1.000,0.166,-1.007,-0.488,-0.610,80.000,159869.000,1.000
192390.234,189604.938,205162.469,198282.422,192806.516,184276.469,192414.203,182352.875,-0.002,0.999,0.166,-1.038,-0.549,-0.580,80.000,159870.000,1.000
192365.375,189570.609,205126.703,198249.172,192778.703,184225.406,192362.156,182323.547,-0.004,0.998,0.168,-0.977,-0.549,-0.641,80.000,159871.000,1.000
192353.047,189570.781,205135.469,198251.047,192777.094,184233.719,192365.297,182304.500,-0.006,1.000,0.167,-0.977,-0.580,-0.671,80.000,159872.000,1.000
192369.141,189600.375,205172.484,198280.453,192801.953,184277.984,192407.672,182315.953,-0.004,1.002,0.166,-1.038,-0.641,-0.702,80.000,159873.000,1.000
192395.953,189625.953,205194.922,198301.281,192823.406,184307.125,192443.797,182343.125,-0.003,1.001,0.164,-0.977,-0.549,-0.824,80.000,159874.000,1.000
192393.000,189596.797,205165.594,198283.672,192807.766,184271.641,192417.859,182352.688,-0.005,1.003,0.167,-0.977,-0.671,-0.824,80.000,159875.000,1.000
192364.844,189552.906,205123.406,198255.781,192774.422,184216.828,192369.500,182326.859,-0.005,1.004,0.168,-0.916,-0.580,-0.824,80.000,159876.000,1.000
192345.266,189545.750,205121.438,198250.422,192762.078,184216.563,192362.609,182295.031,-0.006,1.005,0.170,-0.977,-0.702,-0.946,80.000,159877.000,1.000
