EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
190569.109,189907.672,210447.766,202940.344,193290.656,184500.156,192436.094,183272.594,0.047,1.002,0.075,-2.197,-0.793,-0.397,80.000,17095.000,1.000
190581.531,189881.828,210425.141,202930.063,193281.984,184454.031,192402.219,183270.094,0.046,0.999,0.076,-2.258,-0.793,-0.275,80.000,17096.000,1.000
190558.375,189844.641,210392.422,202899.484,193258.109,184409.859,192369.672,183239.703,0.047,1.000,0.078,-2.289,-0.793,-0.183,80.000,17097.000,1.000
190539.953,189853.766,210403.328,202900.031,193252.750,184420.594,192382.719,183224.859,0.047,1.000,0.077,-2.197,-0.793,-0.031,80.000,17098.000,1.000
190551.844,189883.703,210437.922,202930.250,193270.094,184449.109,192410.172,183250.422,0.046,0.998,0.074,-2.167,-0.702,0.000,80.000,17099.000,1.000
190567.766,189888.719,210443.828,202936.766,193277.250,184446.609,192413.922,183270.547,0.046,0.998,0.077,-2.228,-0.610,-0.031,80.000,17100.000,1.000
190567.500,189863.500,210411.641,202917.734,193267.313,184403.953,192386.844,183279.313,0.047,0.995,0.079,-2.106,-0.549,-0.031,80.000,17101.000,1.000
190537.719,189826.047,210374.547,202888.500,193246.391,184371.406,192366.813,183267.234,0.048,0.997,0.080,-2.106,-0.580,-0.092,80.000,17102.000,1.000
190511.703,189832.219,210379.641,202883.578,193240.938,184392.156,192386.031,183259.094,0.050,0.999,0.078,-2.075,-0.641,0.000,80.000,17103.000,1.000
190513.672,189855.188,210403.234,202898.500,193251.219,184426.672,192410.625,183275.109,0.050,0.998,0.077,-2.045,-0.641,-0.031,80.000,17104.000,1.000
190535.578,189872.625,210417.188,202916.656,193264.906,184441.156,192421.172,183307.203,0.048,0.995,0.072,-1.984,-0.519,0.000,80.000,17105.000,1.000
190544.516,189851.609,210391.531,202907.266,193262.125,184416.391,192404.094,183324.719,0.047,0.995,0.073,-1.953,-0.549,-0.122,80.000,17106.000,1.000
190519.656,189819.156,210356.219,202876.688,193243.094,184393.938,192382.375,183303.453,0.047,0.997,0.078,-1.984,-0.427,-0.031,80.000,17107.000,1.000
190505.625,189833.203,210371.234,202878.391,193245.406,184432.563,192402.484,183285.125,0.047,0.999,0.077,-1.862,-0.366,-0.122,80.000,17108.000,1.000
190515.813,189870.563,210406.188,202901.641,193265.797,184487.469,192441.828,183294.063,0.047,0.999,0.078,-1.923,-0.275,-0.153,80.000,17109.000,1.000
190538.969,189895.516,210425.766,202920.141,193287.078,184513.484,192457.828,183318.375,0.047,0.999,0.074,-1.892,-0.397,-0.153,80.000,17110.000,1.000
190540.578,189866.906,210393.500,202905.656,193277.953,184474.594,192423.406,183320.609,0.048,0.998,0.072,-1.862,-0.214,-0.275,80.000,17111.000,1.000
190506.516,189822.203,210350.125,202870.344,193249.891,184434.625,192386.031,183283.953,0.049,1.000,0.077,-1.923,-0.153,-0.305,80.000,17112.000,1.000
190487.656,189830.156,210362.375,202873.297,193247.922,184452.594,192397.656,183263.391,0.051,0.999,0.077,-1.862,-0.153,-0.244,80.000,17113.000,1.000
190514.203,189874.406,210411.203,202917.453,193280.109,184509.094,192446.922,183289.953,0.050,0.999,0.078,-1.984,-0.031,-0.397,80.000,17114.000,1.000
190545.859,189899.172,210434.625,202936.422,193305.141,184535.656,192478.391,183325.078,0.051,1.000,0.078,-1.923,0.000,-0.336,80.000,17115.000,1.000
190554.359,189878.797,210408.250,202923.547,193298.703,184491.672,192446.734,183328.391,0.051,1.000,0.077,-1.984,-0.031,-0.397,80.000,17116.000,1.000
190527.703,189841.063,210373.734,202895.641,193277.875,184453.844,192417.141,183297.813,0.049,1.001,0.078,-2.045,0.031,-0.397,80.000,17117.000,1.000
190503.844,189843.563,210382.047,202893.141,193271.609,184465.922,192425.641,183273.234,0.049,1.002,0.075,-1.953,0.031,-0.336,80.000,17118.000,1.000
190515.109,189878.438,210418.797,202916.828,193288.156,184496.766,192448.438,183281.984,0.049,1.001,0.080,-1.862,0.122,-0.275,80.000,17119.000,1.000
190550.781,189905.969,210446.516,202940.703,193310.953,184512.938,192464.172,183302.641,0.047,1.001,0.080,-1.923,0.061,-0.275,80.000,17120.000,1.000
190564.188,189883.625,210421.656,202929.984,193304.516,184475.484,192440.125,183303.000,0.044,1.000,0.077,-1.892,0.122,-0.244,80.000,17121.000,1.000
190539.953,189843.922,210383.219,202898.234,193273.578,184421.297,192398.469,183269.375,0.044,1.000,0.074,-1.892,0.122,-0.214,80.000,17122.000,1.000
190525.656,189852.234,210396.438,202897.969,193265.703,184428.453,192401.766,183251.766,0.044,1.000,0.075,-1.770,0.031,-0.244,80.000,17123.000,1.000
190542.906,189887.375,210434.359,202925.953,193280.734,184462.609,192432.250,183271.266,0.046,1.000,0.078,-1.801,0.061,-0.244,80.000,17124.000,1.000
190574.375,189908.125,210453.484,202944.375,193296.828,184479.063,192454.156,183303.453,0.045,0.999,0.076,-1.648,-0.031,-0.153,80.000,17125.000,1.000
190581.531,189880.766,210420.219,202926.141,193282.781,184425.859,192411.156,183308.281,0.044,0.999,0.079,-1.648,0.000,-0.153,80.000,17126.000,1.000
190552.656,189846.875,210382.313,202894.219,193255.250,184376.234,192368.875,183280.297,0.044,1.001,0.080,-1.617,-0.061,-0.244,80.000,17127.000,1.000
190534.688,189851.609,210393.844,202896.984,193251.500,184389.203,192377.266,183269.922,0.042,1.000,0.077,-1.526,-0.092,-0.336,80.000,17128.000,1.000
190543.266,189879.234,210424.156,202917.281,193266.250,184425.594,192407.484,183286.813,0.042,0.999,0.076,-1.617,-0.214,-0.244,80.000,17129.000,1.000
190561.766,189893.359,210435.344,202929.266,193280.547,184435.344,192424.656,183318.828,0.043,1.000,0.076,-1.587,-0.183,-0.336,80.000,17130.000,1.000
190562.578,189864.313,210401.266,202914.328,193271.703,184398.594,192398.734,183330.266,0.042,1.000,0.076,-1.465,-0.275,-0.244,80.000,17131.000,1.000
190535.844,189830.063,210364.891,202886.703,193253.734,184372.672,192379.953,183310.516,0.042,1.002,0.078,-1.465,-0.397,-0.275,80.000,17132.000,1.000
190518.953,189840.344,210377.125,202890.453,193255.688,184401.094,192397.828,183297.281,0.041,1.000,0.074,-1.556,-0.488,-0.214,80.000,17133.000,1.000
190529.766,189872.719,210412.984,202919.344,193275.359,184445.000,192428.063,183312.828,0.040,1.001,0.076,-1.556,-0.549,-0.183,80.000,17134.000,1.000
190552.563,189893.188,210431.047,202936.766,193295.578,184469.938,192447.641,183335.359,0.041,1.000,0.078,-1.465,-0.580,-0.275,80.000,17135.000,1.000
190563.922,189878.438,210410.750,202929.703,193300.844,184455.813,192437.266,183348.859,0.044,1.001,0.076,-1.434,-0.610,-0.336,80.000,17136.000,1.000
190537.984,189841.953,210375.438,202902.531,193281.000,184431.500,192410.797,183321.688,0.044,1.003,0.076,-1.556,-0.580,-0.458,80.000,17137.000,1.000
190510.547,189839.547,210373.375,202889.297,193265.531,184445.625,192411.516,183286.813,0.044,1.003,0.073,-1.556,-0.641,-0.397,80.000,17138.000,1.000
190520.734,189874.859,210409.234,202916.922,193288.422,184499.359,192455.766,183305.500,0.046,1.003,0.072,-1.495,-0.580,-0.427,80.000,17139.000,1.000
190550.234,189905.891,210433.375,202942.766,193318.453,184538.063,192493.859,183339.391,0.046,1.001,0.074,-1.495,-0.671,-0.427,80.000,17140.000,1.000
190549.344,189873.875,210396.891,202919.344,193302.719,184497.391,192459.531,183330.719,0.045,1.000,0.075,-1.465,-0.763,-0.366,80.000,17141.000,1.000
190522.250,189833.375,210358.984,202887.516,193272.953,184449.203,192413.844,183293.078,0.046,0.998,0.071,-1.434,-0.641,-0.397,80.000,17142.000,1.000
190511.703,189845.094,210374.000,202888.500,193271.781,184471.281,192428.953,183275.375,0.048,0.998,0.068,-1.434,-0.610,-0.336,80.000,17143.000,1.000
190526.281,189876.375,210407.797,202906.469,193287.875,184513.922,192467.219,183289.953,0.048,0.996,0.071,-1.221,-0.671,-0.336,80.000,17144.000,1.000
190557.656,189899.719,210427.469,202924.438,193300.938,184523.859,192475.625,183311.219,0.047,1.000,0.073,-1.160,-0.671,-0.305,80.000,17145.000,1.000
190567.766,189880.141,210404.938,202914.781,193294.594,184486.297,192450.406,183322.125,0.047,1.000,0.071,-1.129,-0.702,-0.183,80.000,17146.000,1.000
190540.500,189841.875,210370.781,202885.719,193268.125,184442.484,192415.984,183296.391,0.048,0.997,0.076,-1.129,-0.702,-0.183,80.000,17147.000,1.000
190530.125,189850.000,210383.750,202889.031,193261.781,184454.375,192423.141,183278.859,0.046,0.999,0.073,-1.038,-0.702,-0.275,80.000,17148.000,1.000
190551.578,189884.156,210421.750,202920.141,193277.063,184486.031,192444.688,183295.219,0.047,0.998,0.075,-1.007,-0.610,-0.366,80.000,17149.000,1.000
190578.219,189907.047,210443.563,202940.609,193297.094,184505.875,192469.188,183324.547,0.048,0.997,0.072,-1.099,-0.549,-0.397,80.000,17150.000,1.000
190583.953,189882.813,210415.844,202921.125,193281.891,184449.906,192417.766,183317.297,0.048,0.998,0.073,-1.129,-0.458,-0.549,80.000,17151.000,1.000
190563.563,189840.797,210380.797,202888.047,193248.813,184393.234,192365.922,183280.375,0.048,0.999,0.074,-1.251,-0.427,-0.580,80.000,17152.000,1.000
190553.016,189852.063,210397.516,202890.016,193242.828,184405.297,192372.438,183256.234,0.046,0.999,0.074,-1.251,-0.336,-0.610,80.000,17153.000,1.000
190568.203,189888.453,210436.234,202919.063,193261.688,184446.516,192408.391,183271.172,0.046,1.000,0.075,-1.251,-0.427,-0.580,80.000,17154.000,1.000
190599.406,189916.250,210462.609,202946.609,193286.813,184470.828,192433.063,183300.234,0.046,1.003,0.072,-1.312,-0.397,-0.610,80.000,17155.000,1.000
190617.297,189903.016,210444.641,202941.328,193288.859,184439.266,192411.516,183317.125,0.045,1.005,0.072,-1.343,-0.305,-0.641,80.000,17156.000,1.000
190586.719,189862.703,210405.563,202909.859,193265.078,184396.359,192372.797,183292.984,0.047,1.004,0.073,-1.526,-0.305,-0.671,80.000,17157.000,1.000
190560.156,189865.656,210411.203,202905.031,193261.156,184413.797,192380.578,183273.234,0.046,1.004,0.075,-1.556,-0.336,-0.671,80.000,17158.000,1.000
190575.188,189904.359,210451.344,202937.047,193290.750,184464.578,192423.500,183298.078,0.047,1.002,0.073,-1.740,-0.458,-0.641,80.000,17159.000,1.000
190602.188,189926.359,210470.828,202961.266,193316.406,184492.656,192454.609,183335.813,0.046,1.003,0.070,-1.770,-0.366,-0.641,80.000,17160.000,1.000
190596.109,189887.563,210430.328,202936.859,193302.453,184450.984,192423.578,183338.219,0.045,1.003,0.071,-1.862,-0.488,-0.580,80.000,17161.000,1.000
190560.969,189849.016,210386.703,202899.219,193277.156,184413.875,192394.172,183309.250,0.047,1.003,0.073,-1.831,-0.427,-0.610,80.000,17162.000,1.000
190537.453,189855.547,210395.906,202904.047,193278.313,184439.813,192416.250,183297.547,0.046,1.004,0.073,-1.953,-0.366,-0.519,80.000,17163.000,1.000
190546.125,189887.641,210428.984,202927.563,193299.953,184493.547,192460.516,183312.563,0.046,1.002,0.073,-1.953,-0.305,-0.397,80.000,17164.000,1.000
