EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
191648.875,190334.672,208513.438,201426.422,193245.953,184609.953,193342.328,183245.781,0.031,1.007,0.188,-1.984,0.000,-0.793,80.000,54663.000,1.000
191632.250,190342.547,208524.625,201425.703,193247.016,184635.156,193364.406,183229.328,0.030,1.006,0.189,-2.045,0.000,-0.793,80.000,54664.000,1.000
191648.875,190373.219,208560.656,201458.422,193268.922,184673.344,193392.672,183245.688,0.030,1.005,0.187,-2.045,-0.214,-0.824,80.000,54665.000,1.000
191669.703,190389.391,208573.609,201471.297,193283.859,184682.641,193407.953,183271.438,0.031,1.007,0.184,-2.106,-0.244,-1.007,80.000,54666.000,1.000
191672.391,190354.078,208540.625,201450.203,193267.500,184630.516,193379.797,183276.094,0.031,1.005,0.187,-2.136,-0.214,-1.007,80.000,54667.000,1.000
191649.313,190321.359,208507.094,201419.891,193237.188,184585.547,193332.859,183238.000,0.030,1.003,0.190,-2.197,-0.275,-0.946,80.000,54668.000,1.000
191639.484,190340.938,208526.406,201435.891,193245.953,184625.688,193352.703,183229.063,0.032,1.003,0.188,-2.136,-0.366,-0.854,80.000,54669.000,1.000
191653.875,190378.578,208561.641,201463.172,193270.094,184672.625,193394.281,183244.172,0.034,1.001,0.186,-2.167,-0.549,-0.854,80.000,54670.000,1.000
191669.797,190393.422,208570.031,201469.328,193278.500,184671.375,193400.359,183262.859,0.034,0.999,0.188,-2.136,-0.519,-0.732,80.000,54671.000,1.000
191672.391,190367.844,208541.875,201457.531,193271.609,184646.609,193380.234,183280.016,0.034,1.000,0.187,-2.045,-0.549,-0.641,80.000,54672.000,1.000
191644.406,190334.406,208511.484,201434.563,193253.281,184629.703,193369.781,183261.969,0.034,1.000,0.190,-1.923,-0.580,-0.549,80.000,54673.000,1.000
191621.875,190336.375,208517.281,201427.500,193246.578,184653.844,193380.500,183236.219,0.033,1.002,0.190,-1.892,-0.610,-0.458,80.000,54674.000,1.000
191636.000,190363.922,208545.625,201453.422,193256.953,184673.078,193381.578,183241.219,0.036,1.001,0.187,-1.862,-0.824,-0.366,80.000,54675.000,1.000
191662.906,190389.031,208567.625,201481.578,193285.641,184710.625,193423.328,183286.375,0.035,1.000,0.189,-1.862,-0.702,-0.183,80.000,54676.000,1.000
191654.781,190349.609,208527.297,201446.813,193264.453,184655.453,193394.719,183286.375,0.035,1.001,0.189,-2.014,-0.702,-0.153,80.000,54677.000,1.000
191628.750,190315.016,208492.969,201413.641,193236.469,184621.313,193347.516,183246.859,0.034,1.000,0.188,-1.892,-0.732,0.031,80.000,54678.000,1.000
191604.703,190317.063,208495.563,201404.516,193225.750,184628.641,193346.531,183215.297,0.034,0.999,0.188,-1.892,-0.702,0.061,80.000,54679.000,1.000
191619.094,190349.969,208530.703,201430.266,193247.016,184677.359,193383.375,183227.625,0.033,0.997,0.189,-1.801,-0.641,0.122,80.000,54680.000,1.000
191654.859,190378.406,208558.594,201458.344,193275.188,184703.828,193411.266,183263.297,0.033,0.997,0.190,-1.831,-0.763,0.092,80.000,54681.000,1.000
191663.891,190361.859,208539.188,201451.813,193275.188,184670.750,193400.359,183284.219,0.032,0.999,0.187,-1.892,-0.671,0.061,80.000,54682.000,1.000
191637.344,190326.719,208508.172,201425.344,193252.922,184631.938,193366.375,183263.125,0.032,1.000,0.187,-1.892,-0.610,0.092,80.000,54683.000,1.000
191627.422,190337.359,208522.828,201432.766,193250.859,184640.703,193359.766,183242.656,0.033,1.000,0.188,-1.770,-0.763,0.122,80.000,54684.000,1.000
191641.453,190367.219,208553.047,201452.797,193266.516,184669.766,193386.859,183245.063,0.035,0.999,0.187,-1.770,-0.732,0.000,80.000,54685.000,1.000
191667.203,190391.547,208572.188,201475.234,193290.391,184694.891,193418.234,183282.250,0.037,1.000,0.186,-1.770,-0.702,-0.031,80.000,54686.000,1.000
191675.516,190373.219,208549.750,201468.891,193287.078,184665.109,193397.859,183300.313,0.037,1.000,0.187,-1.740,-0.488,0.000,80.000,54687.000,1.000
191653.078,190344.156,208519.172,201437.422,193261.688,184620.328,193352.969,183254.891,0.037,0.998,0.188,-1.770,-0.519,-0.031,80.000,54688.000,1.000
191635.016,190349.156,208528.016,201431.422,193256.047,184635.703,193359.672,183228.250,0.036,1.000,0.191,-1.831,-0.488,-0.122,80.000,54689.000,1.000
191640.641,190370.891,208553.047,201447.344,193266.063,184664.578,193386.234,183236.391,0.037,1.001,0.189,-1.801,-0.366,-0.122,80.000,54690.000,1.000
191671.672,190396.734,208576.750,201472.734,193293.875,184698.547,193421.641,183272.953,0.039,1.000,0.188,-1.862,-0.275,-0.092,80.000,54691.000,1.000
191677.938,190375.359,208553.313,201462.906,193290.109,184675.313,193403.938,183283.328,0.038,1.000,0.186,-1.831,-0.305,-0.153,80.000,54692.000,1.000
191643.953,190331.469,208512.188,201430.266,193254.172,184612.188,193351.813,183252.031,0.038,1.003,0.187,-1.740,-0.244,-0.122,80.000,54693.000,1.000
191623.125,190338.250,208518.000,201428.922,193247.922,184630.875,193360.125,183227.000,0.038,1.001,0.188,-1.678,-0.183,-0.153,80.000,54694.000,1.000
191638.859,190374.641,208551.438,201455.656,193266.609,184672.453,193389.625,183241.047,0.039,1.001,0.189,-1.740,-0.122,-0.153,80.000,54695.000,1.000
191666.844,190395.031,208571.922,201476.484,193287.609,184704.000,193415.734,183276.625,0.039,1.003,0.192,-1.709,0.031,-0.153,80.000,54696.000,1.000
191665.953,190364.719,208538.922,201452.891,193271.703,184664.219,193387.125,183273.406,0.038,1.002,0.191,-1.617,0.153,-0.183,80.000,54697.000,1.000
191640.109,190334.672,208505.047,201426.156,193248.906,184625.781,193362.531,183244.609,0.040,1.003,0.187,-1.709,0.244,-0.122,80.000,54698.000,1.000
